term,estimate,penalty
alto,0.005130153412945146,8.68511373751352e-4
altura,-3.772033160014689e-4,8.68511373751352e-4
ambiente,-0.003212486395200754,8.68511373751352e-4
americana,0.0034182600514525282,8.68511373751352e-4
americano,0,8.68511373751352e-4
americo,-5.579569970466333e-4,8.68511373751352e-4
amplio,0.010024808573037773,8.68511373751352e-4
andrear,0.002794508449560934,8.68511373751352e-4
ano,0.00490436471497051,8.68511373751352e-4
antejardin,0.010153450942697078,8.68511373751352e-4
apartaestudio,-0.014186358507657494,8.68511373751352e-4
apartamento,-0.00536851729478068,8.68511373751352e-4
aprovecha,0,8.68511373751352e-4
apto,-0.0017615795219320294,8.68511373751352e-4
area,0.0022353900003973495,8.68511373751352e-4
ascensor,-0.006155336526999505,8.68511373751352e-4
autopista,-0.0013100746555380536,8.68511373751352e-4
auxiliar,0.008463568290981417,8.68511373751352e-4
avenida,-6.004772760599595e-4,8.68511373751352e-4
avenido,0.002514439780532593,8.68511373751352e-4
balcn,0.0016632931423951254,8.68511373751352e-4
balcon,0.017302558739419313,8.68511373751352e-4
balcr,0.009069935404206725,8.68511373751352e-4
bancario,-6.987719179140608e-4,8.68511373751352e-4
banco,7.802816109531083e-4,8.68511373751352e-4
bano,0.008740522390612309,8.68511373751352e-4
bao,-0.024562516292207952,8.68511373751352e-4
barbar,0,8.68511373751352e-4
barra,-0.004780639944651117,8.68511373751352e-4
barrio,-0.0036485787514792837,8.68511373751352e-4
bastante,0.0013182988108199037,8.68511373751352e-4
bbq,0.0010089782049947501,8.68511373751352e-4
bello,-0.001372691192579772,8.68511373751352e-4
beltrar,1.8809672286349146e-4,8.68511373751352e-4
biblioteca,0.00329366277082981,8.68511373751352e-4
bicicletero,-0.002129797767868914,8.68511373751352e-4
bien,-0.001487891734901873,8.68511373751352e-4
bodego,0.0052466651184517165,8.68511373751352e-4
bogot,0,8.68511373751352e-4
bogota,0.005017032784334823,8.68511373751352e-4
bogotar,0.0011890752596292545,8.68511373751352e-4
bonito,0,8.68511373751352e-4
bosque,0.008524058468142644,8.68511373751352e-4
boyaco,-0.0024081265902312,8.68511373751352e-4
brindar,0.0011316513590373186,8.68511373751352e-4
buen,-0.009705609520484234,8.68511373751352e-4
cada,0.012935198705858965,8.68511373751352e-4
cadena,0.0026961419272438607,8.68511373751352e-4
caldero,0.006225826775571274,8.68511373751352e-4
calentador,-0.0032721205066806825,8.68511373751352e-4
cali,-0.00986858006128938,8.68511373751352e-4
calidad,1.2487075210392646e-4,8.68511373751352e-4
calle,-0.0044534525859985,8.68511373751352e-4
callejo,-1.2770143942227613e-4,8.68511373751352e-4
campestre,-9.882484121680286e-4,8.68511373751352e-4
cancha,0.002652875654950645,8.68511373751352e-4
caracteristica,0,8.68511373751352e-4
carolina,0.01090900984091786,8.68511373751352e-4
carrera,-6.966098532455806e-4,8.68511373751352e-4
carro,0.004711684532527481,8.68511373751352e-4
carulla,0.003306096079450229,8.68511373751352e-4
casa,0.00630470089021457,8.68511373751352e-4
caso,0.003101369119768876,8.68511373751352e-4
cctv,-8.922751054744096e-4,8.68511373751352e-4
cedrito,-0.007641257873668859,8.68511373751352e-4
central,-1.9635408149547628e-5,8.68511373751352e-4
centro,-0.0012340923603481832,8.68511373751352e-4
ceramico,-0.0022499240454994826,8.68511373751352e-4
cerca,-0.01101090908804351,8.68511373751352e-4
cercano,-0.004040174014732863,8.68511373751352e-4
cerrado,-0.006167664266962646,8.68511373751352e-4
cerro,0.005319592602224799,8.68511373751352e-4
chico,0.010501822867138544,8.68511373751352e-4
chimeneo,0.005060803067064278,8.68511373751352e-4
ciento,-7.282995004544321e-4,8.68511373751352e-4
cinco,0.0015434010539958592,8.68511373751352e-4
circuito,0,8.68511373751352e-4
cita,-0.0028656100346291205,8.68511373751352e-4
ciudad,0.004392781725359515,8.68511373751352e-4
